Name,Longitude,Latitude,Image,Date
Jai Sharma,-79.94,40.44,"https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTjQfUyt8Q4ypHfybtL4EZkom5Q3yKa3DTlYQ&s",9/12/2025
Alice,-79.901735,40.377026,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTjQfUyt8Q4ypHfybtL4EZkom5Q3yKa3DTlYQ&s,08/08/2024
Bob,-80.022562,40.364865,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTjQfUyt8Q4ypHfybtL4EZkom5Q3yKa3DTlYQ&s,02/18/2025
Charlie,-79.975897,40.460975,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTjQfUyt8Q4ypHfybtL4EZkom5Q3yKa3DTlYQ&s,09/27/2024
Diana,-80.023708,40.42729,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTjQfUyt8Q4ypHfybtL4EZkom5Q3yKa3DTlYQ&s,10/15/2024
Edward,-80.026059,40.355117,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTjQfUyt8Q4ypHfybtL4EZkom5Q3yKa3DTlYQ&s,05/06/2024
Fiona,-79.964403,40.489635,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTjQfUyt8Q4ypHfybtL4EZkom5Q3yKa3DTlYQ&s,03/24/2025
George,-79.917239,40.371795,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTjQfUyt8Q4ypHfybtL4EZkom5Q3yKa3DTlYQ&s,11/07/2024
Hannah,-79.954686,40.376137,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTjQfUyt8Q4ypHfybtL4EZkom5Q3yKa3DTlYQ&s,03/18/2024
Ian,-79.984958,40.38746,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTjQfUyt8Q4ypHfybtL4EZkom5Q3yKa3DTlYQ&s,05/20/2024
Julia,-79.967291,40.470678,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTjQfUyt8Q4ypHfybtL4EZkom5Q3yKa3DTlYQ&s,08/17/2024
Kevin,-79.954242,40.487567,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTjQfUyt8Q4ypHfybtL4EZkom5Q3yKa3DTlYQ&s,11/14/2025
Laura,-79.935903,40.433674,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTjQfUyt8Q4ypHfybtL4EZkom5Q3yKa3DTlYQ&s,10/28/2024
Michael,-79.90355,40.438655,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTjQfUyt8Q4ypHfybtL4EZkom5Q3yKa3DTlYQ&s,01/11/2024
Nina,-79.96063,40.408688,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTjQfUyt8Q4ypHfybtL4EZkom5Q3yKa3DTlYQ&s,02/10/2024
Oscar,-79.904429,40.488421,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTjQfUyt8Q4ypHfybtL4EZkom5Q3yKa3DTlYQ&s,04/09/2024
Paula,-79.963839,40.364124,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTjQfUyt8Q4ypHfybtL4EZkom5Q3yKa3DTlYQ&s,10/20/2025
Quentin,-79.955535,40.363567,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTjQfUyt8Q4ypHfybtL4EZkom5Q3yKa3DTlYQ&s,10/11/2025
Rachel,-79.944369,40.435128,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTjQfUyt8Q4ypHfybtL4EZkom5Q3yKa3DTlYQ&s,09/02/2025
Steve,-79.906783,40.494125,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTjQfUyt8Q4ypHfybtL4EZkom5Q3yKa3DTlYQ&s,07/17/2024
Tina,-79.936949,40.469368,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTjQfUyt8Q4ypHfybtL4EZkom5Q3yKa3DTlYQ&s,10/23/2025
Uma,-80.041284,40.371705,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTjQfUyt8Q4ypHfybtL4EZkom5Q3yKa3DTlYQ&s,02/06/2024
Victor,-79.928177,40.404137,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTjQfUyt8Q4ypHfybtL4EZkom5Q3yKa3DTlYQ&s,11/13/2024
Wendy,-79.953311,40.411915,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTjQfUyt8Q4ypHfybtL4EZkom5Q3yKa3DTlYQ&s,04/05/2025
Xander,-79.993194,40.424983,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTjQfUyt8Q4ypHfybtL4EZkom5Q3yKa3DTlYQ&s,09/01/2025
Yvonne,-80.027323,40.393448,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTjQfUyt8Q4ypHfybtL4EZkom5Q3yKa3DTlYQ&s,03/22/2024
Zach,-80.0004,40.375967,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTjQfUyt8Q4ypHfybtL4EZkom5Q3yKa3DTlYQ&s,09/04/2024
Amber,-79.943789,40.47445,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTjQfUyt8Q4ypHfybtL4EZkom5Q3yKa3DTlYQ&s,05/25/2025
Brian,-79.952605,40.456545,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTjQfUyt8Q4ypHfybtL4EZkom5Q3yKa3DTlYQ&s,09/30/2025
Cathy,-79.985851,40.352676,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTjQfUyt8Q4ypHfybtL4EZkom5Q3yKa3DTlYQ&s,08/18/2024
David,-80.028395,40.435855,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTjQfUyt8Q4ypHfybtL4EZkom5Q3yKa3DTlYQ&s,08/21/2024
Ella,-79.942805,40.353309,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTjQfUyt8Q4ypHfybtL4EZkom5Q3yKa3DTlYQ&s,05/06/2024
Frank,-79.95631,40.409502,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTjQfUyt8Q4ypHfybtL4EZkom5Q3yKa3DTlYQ&s,03/27/2024
Grace,-79.914998,40.425673,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTjQfUyt8Q4ypHfybtL4EZkom5Q3yKa3DTlYQ&s,08/09/2024
